Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP
ITT ENGINEERED VALVES LLC,4,7,United States Of America,ITT ENGINEERED VALVES
ITW Metal Fasteners,4,4,United States Of America,ITW METAL FASTENERS
IZAR CUTTING TOOLS,4,4,Spain,IZAR CUTTING TOOLS
JACKSON GEAR COMPANY,4,5,United States Of America,JACKSON GEAR
JENNMAR,4,7,United States Of America,JENNMAR
JIANGSU HENGLI,4,6,China,JIANGSU HENGLI
JOHN CRANE,4,6,United States Of America,JOHN CRANE
JOY GLOBAL,4,6,United States Of America,JOY GLOBAL
KAMAX,4,7,Germany,KAMAX
KARSTEN MATHIASEN,4,9,Denmark,KARSTEN MATHIASEN
KAYS ENGINEERING,4,6,United States Of America,KAYS ENGINEERING
KOHLER,4,7,United States Of America,KOHLER
KOT ADDU POWER,4,6,Pakistan,KOT ADDU POWER
KRONES AG,4,7,Germany,KRONES
KUZNIA,4,6,Poland,KUZNIA
LABCONCO CORPORATION,4,7,United States Of America,LABCONCO
LENZE,4,6,Germany,LENZE
LEONARD MACHINE COMPANY,4,6,United States Of America,LEONARD MACHINE
LIBERTY HOUSE GROUP,4,5,England,LIBERTY HOUSE GROUP
LINCOLN ELECTRIC,4,7,United States Of America,LINCOLN ELECTRIC
LINDAB,4,7,Sweden,LINDAB
LINDBERG,4,12,Denmark,LINDBERG
LUBAIR AVIATION,4,6,England,LUBAIR AVIATION
LUNDBERGS PRESSGJUTERI,4,5,Sweden,LUNDBERGS PRESSGJUTERI
MAKITA,4,7,Japan,MAKITA
MALCON,4,12,Brazil,MALCON
MANDJ VALVE SERVICES,4,8,United States Of America,MANDJ VALVE SERVICES
MANILDRA GROUP,4,6,Australia,MANILDRA GROUP
MANOIR INDUSTRIES,4,6,France,MANOIR INDUSTRIES
MAPAL,4,6,Germany,MAPAL
MASTER LOCK,4,7,United States Of America,MASTER LOCK
MATCORMATSU,4,12,Canada,MATCORMATSU
MERCER MACHINE CO INC,4,6,United States Of America,MERCER MACHINE
METRA,4,10,France,METRA
MIC,4,8,Brazil,MIC
MITUTOYO,4,12,Japan,MITUTOYO
MOOG INC,4,9,United States Of America,MOOG
MSC AMAZONIA,4,7,Brazil,MSC AMAZONIA
MULTIMATIC,4,7,Canada,MULTIMATIC
MWI,4,6,United States Of America,MWI
Mueller Co LLC,4,9,United States Of America,MUELLER
MÖRRUMS FINMEKANO,4,9,Sweden,MORRUMS FINMEKANO
NARMCO GROUP,4,8,Canada,NARMCO GROUP
NASH,4,7,Brazil,NASH
NOLAB,4,9,Sweden,NOLAB
NORTHROP GRUMMAN,4,6,United States Of America,NORTHROP GRUMMAN
NUOVA MECCANICA,4,15,Italy,NUOVA MECCANICA
OFFICINE VICA,4,8,Italy,OFFICINE VICA
OLIVER TECHNOLOGIES,4,6,United States Of America,OLIVER TECHNOLOGIES
OSBORN INTERNATIONAL,4,10,United States Of America,OSBORN INTERNATIONAL
OUTILLAGE MAGAFOR,4,4,France,OUTILLAGE MAGAFOR
PACE INDUSTRIES,4,6,United States Of America,PACE INDUSTRIES
PARKER TRUTEC,4,7,United States Of America,PARKER TRUTEC
PHILIPS,4,7,,PHILIPS
PISA,4,6,Italy,PISA
PIT INDUSTRIAL,4,8,United States Of America,PIT INDUSTRIAL
POCLAIN,4,7,France,POCLAIN
POSSEHL ELECTRONICS,4,5,Germany,POSSEHL ELECTRONICS
PRECISION COMPONENTS,4,6,United States Of America,PRECISION COMPONENTS
PRECOR,4,8,United States Of America,PRECOR
PROLINE COATING,4,6,United States Of America,PROLINE COATING
QUALITY TOOLS & SERVICES INC,4,7,,QUALITY TOOLS SERVICES
R AND J Cylinder AND Machine Inc,4,7,United States Of America,R AND J CYLINDER AND MACHINE
R CLAVERIA,4,4,Spain,R CLAVERIA
REGAL WARE,4,7,United States Of America,REGAL WARE
RELIANCE WORLDWIDE,4,5,Australia,RELIANCE WORLDWIDE
RENOLD,4,9,England,RENOLD
RILEY GEAR,4,6,United States Of America,RILEY GEAR
RJC MANUFACTURING SERVICES,4,8,United States Of America,RJC MANUFACTURING SERVICES
ROBINSON FIN,4,6,United States Of America,ROBINSON FIN
ROLLER DIE AND FORMING,4,8,United States Of America,ROLLER DIE AND FORMING
RS HUGHES COMPANY INC,4,10,United States Of America,RS HUGHES
RZ GROUP,4,4,Sweden,RZ GROUP
S B SIMPSON GROUP,4,8,Canada,S B SIMPSON GROUP
SAF,4,8,France,SAF
SANDFELD VÆRKTØJSMASKINER,4,8,Denmark,SANDFELD VÆRKTØJSMASKINER
SANTA ROSA SYSTEMS,4,6,United States Of America,SANTA ROSA SYSTEMS
SAPES,4,10,Romania,SAPES
SAVERA,4,4,India,SAVERA
SAWO,4,7,Finland,SAWO
SCHAFFER INDUSTRIAL FINISHING,4,8,United States Of America,SCHAFFER INDUSTRIAL FINISHING
SCHICK,4,11,United States Of America,SCHICK
SCHINDLER,4,11,Switzerland,SCHINDLER
SCHLAGE LOCK,4,8,United States Of America,SCHLAGE LOCK
SETINA MANUFACTURING,4,8,United States Of America,SETINA MANUFACTURING
SIDERFORGEROSSI GROUP,4,12,Italy,SIDERFORGEROSSI GROUP
SKYLINE ENGINEERED ALUMINUM,4,6,United States Of America,SKYLINE ENGINEERED ALUMINUM
SLABE MACHINE PRODUCTS,4,6,United States Of America,SLABE MACHINE PRODUCTS
SODRA,4,6,Sweden,SODRA
SOGEFI,4,9,China,SOGEFI
SPECIALTY BAR PRODUCTS,4,6,United States Of America,SPECIALTY BAR PRODUCTS
SPECIALTY STEEL TREATING,4,13,United States Of America,SPECIALTY STEEL TREATING
SPIRAX SARCO,4,6,England,SPIRAX SARCO
SSAB,4,7,Sweden,SSAB
SSP FITTINGS,4,7,United States Of America,SSP FITTINGS
STANDARD GREASES AND SPECIALITIES,4,8,India,STANDARD GREASES AND SPECIALITIES
STATES MANUFACTURING CORP,4,10,United States Of America,STATES MANUFACTURING
STEELTRATER,4,12,Brazil,STEELTRATER
STILMA,4,13,Italy,STILMA
STOCKHAM VALVE,4,8,Northern Ireland,STOCKHAM VALVE
SUZHOU MEIJIANLI,4,7,China,SUZHOU MEIJIANLI
T M B,4,8,Italy,T M B
T T V,4,5,Italy,T T V
TAKAMATSU TEISAN,4,7,Japan,TAKAMATSU TEISAN
TAM,4,5,France,TAM
TARTER,4,8,United States Of America,TARTER
TATE GLOBAL CORPORATION,4,7,United States Of America,TATE GLOBAL
TBT TIEFBOHRTECHNIK,4,8,Germany,TBT TIEFBOHRTECHNIK
TEMPERAPAR,4,9,Brazil,TEMPERAPAR
TIANJIN HENGZHAN,4,7,China,TIANJIN HENGZHAN
TIBERINA,4,13,Italy,TIBERINA
TITANX ENGINE COOLING,4,7,Sweden,TITANX ENGINE COOLING
TOYO INK AMERICA LLC,4,7,United States Of America,TOYO INK AMERICA
TRANSOR FILTER,4,7,United States Of America,TRANSOR FILTER
TRICORN,4,10,United States Of America,TRICORN
TSUBAKI GROUP,4,7,Japan,TSUBAKI GROUP
TWIN CITY POWDER COATING,4,6,United States Of America,TWIN CITY POWDER COATING
USIMETAL,4,5,Brazil,USIMETAL
UWE SCHEIBEL,4,7,Germany,UWE SCHEIBEL
VALIANT,4,7,Canada,VALIANT
VDL GROUP,4,7,Netherlands,VDL GROUP
VESTAS,4,9,Denmark,VESTAS
VILLARES,4,15,Brazil,VILLARES
VISY,4,5,Australia,VISY
Vallen,4,6,United States Of America,VALLEN
WABTEC CORPORATION,4,10,United States Of America,WABTEC
WALLWORK GROUP,4,5,England,WALLWORK GROUP
WALSH VMI,4,9,Ireland,WALSH VMI
WASHITA VALLEY ENTERPRISES,4,4,United States Of America,WASHITA VALLEY ENTERPRISES
WEG,4,9,,WEG
WIPRO ENTERPRISE,4,10,India,WIPRO ENTERPRISE
WOLSELEY INDUSTRIAL,4,8,United States Of America,WOLSELEY INDUSTRIAL
Worthington Enterprises Inc,4,7,United States Of America,WORTHINGTON ENTERPRISES
YANFENG,4,8,China,YANFENG
ZEUS,4,6,United States Of America,ZEUS
Zippo Manufacturing Company,4,5,United States Of America,ZIPPO MANUFACTURING
274 GORMAN CLEARWATER,3,6,United States Of America,274 GORMAN CLEARWATER
2CM INNOVATIVE MACHINERY,3,5,Canada,2CM INNOVATIVE MACHINERY
A TEKNIK,3,6,Sweden,A TEKNIK
AB METAL CASTERS,3,6,United States Of America,AB METAL CASTERS
ACCROTOOL,3,7,United States Of America,ACCROTOOL
ACCURATE ANODIZING,3,6,United States Of America,ACCURATE ANODIZING
ACME,3,5,United States Of America,ACME
ACRODYNE MANUFACTURING,3,7,United States Of America,ACRODYNE MANUFACTURING
ACS GROUP,3,5,Spain,ACS GROUP
ADVANCED ENGINEERING AUSTRALIA,3,3,Australia,ADVANCED ENGINEERING AUSTRALIA
AESCULAP,3,5,Germany,AESCULAP
AGCO,3,5,United States Of America,AGCO
AGRATI,3,5,Italy,AGRATI
AKG GROUP,3,8,Germany,AKG GROUP
AKK INDUSTRI,3,8,Turkey,AKK INDUSTRI
ALFA LAVAL INC,3,7,Sweden,ALFA LAVAL
ALLIANCE LAUNDRY SYSTEMS,3,10,United States Of America,ALLIANCE LAUNDRY SYSTEMS
ALLOY ENGINEERING,3,4,United States Of America,ALLOY ENGINEERING
ALPENTECH SAS,3,4,France,ALPENTECH
AMANDUS KAHL,3,8,Germany,AMANDUS KAHL
AMERICAN PRODUCTS,3,6,United States Of America,AMERICAN PRODUCTS
AMERICAN ROLLER BEARING,3,5,United States Of America,AMERICAN ROLLER BEARING
AMERICAN STRUCTURE AND DESIGN,3,5,United States Of America,AMERICAN STRUCTURE AND DESIGN
AMS,3,6,United States Of America,AMS
AMT,3,6,United States Of America,AMT
ANCA MANUFACTURING,3,4,Australia,ANCA MANUFACTURING
ANDERSON PRECISION,3,6,United States Of America,ANDERSON PRECISION
ANEL CORPORATION,3,6,Japan,ANEL
AOI TECHNO,3,6,Japan,AOI TECHNO
APPLIED INDUSTRIAL,3,5,United States Of America,APPLIED INDUSTRIAL
ARATZ,3,3,Spain,ARATZ
ARNOLDS METAL FINISHING,3,8,United States Of America,ARNOLDS METAL FINISHING
ATA TOOLS GROUP,3,7,India,ATA TOOLS GROUP
ATLANTIC FLUID TECH,3,4,Italy,ATLANTIC FLUID TECH
ATLAS MACHINE,3,6,United States Of America,ATLAS MACHINE
AVS GROUP,3,4,Russian Federation,AVS GROUP
AXON CABLE,3,4,United States Of America,AXON CABLE
Acme Industrial Fabrication,3,6,United States Of America,ACME INDUSTRIAL FABRICATION
BACKER EHP,3,6,Sweden,BACKER EHP
BAOWU GROUP,3,7,China,BAOWU GROUP
BARON CUTTING TOOLS,3,6,United States Of America,BARON CUTTING TOOLS
BASIC CARBIDE,3,10,United States Of America,BASIC CARBIDE
BASS PRO,3,7,United States Of America,BASS PRO
BAT,3,8,United States Of America,BAT
BAUMANN GMBH,3,6,Germany,BAUMANN
BB and H Tool Company,3,3,United States Of America,BB AND H TOOL
BCW ENGINEERING,3,5,United States Of America,BCW ENGINEERING
BECK INDUSTRIES,3,5,United States Of America,BECK INDUSTRIES
BECK MANUFACTURING,3,6,United States Of America,BECK MANUFACTURING
BELDALS MASKINVÆRKSTED,3,7,Denmark,BELDALS MASKINVÆRKSTED
BELDEN HIRSCHMAN INDUSTRIAL,3,7,United States Of America,BELDEN HIRSCHMAN INDUSTRIAL
BELL MFG,3,4,United States Of America,BELL MFG
BENDIX,3,8,United States Of America,BENDIX
BEVEGO BYGGPLÅT & VENTILATION,3,9,Sweden,BEVEGO BYGGPLAT VENTILATION
BIESSE,3,11,Italy,BIESSE
BILCO TOOLS,3,7,United States Of America,BILCO TOOLS
BILMAR CNC,3,7,United States Of America,BILMAR CNC
BKJ ENGINEERING,3,5,Thailand,BKJ ENGINEERING
BOBALEE HYDRAULICS,3,6,United States Of America,BOBALEE HYDRAULICS
BONOMI,3,12,Italy,BONOMI
BONOR,3,4,Brazil,BONOR
BORA,3,11,Italy,BORA
BOTEK PRAZISIONSBOHR,3,5,Germany,BOTEK PRAZISIONSBOHR
BPN TRANSMISSOES,3,5,Brazil,BPN TRANSMISSOES
BRASKEM,3,6,Brazil,BRASKEM
BRASPAR,3,5,Brazil,BRASPAR
BRAY CONTROLS,3,5,United States Of America,BRAY CONTROLS
BRDR CHRISTENSEN,3,6,Denmark,BRDR CHRISTENSEN
BRISTOL COMPRESSORS,3,6,United States Of America,BRISTOL COMPRESSORS
BROSON,3,7,Sweden,BROSON
BRUSCHI,3,10,United States Of America,BRUSCHI
Brown CNC Machining Inc,3,4,United States Of America,BROWN CNC MACHINING
C C N,3,4,Italy,C C N
C I M I,3,5,Brazil,C I M I
CALCINOR,3,3,Spain,CALCINOR
CALDER POWDER COATERS,3,6,United States Of America,CALDER POWDER COATERS
CANFOUR INDUSTRIAL SUPPLIES,3,5,Canada,CANFOUR INDUSTRIAL SUPPLIES
CANIMEX,3,6,Canada,CANIMEX
CANMEC,3,6,Canada,CANMEC
CAP PRODUCTS,3,6,Canada,CAP PRODUCTS
CAPI GROUP,3,6,Italy,CAPI GROUP
CAPITAL INDUSTRIAL,3,6,India,CAPITAL INDUSTRIAL
CARAGH PRECISION,3,6,Ireland,CARAGH PRECISION
CARDINAL ALUMINUM,3,5,United States Of America,CARDINAL ALUMINUM
CARGOTEC,3,4,Finland,CARGOTEC
CARRARO GROUP,3,10,Italy,CARRARO GROUP
CATERPILLAR,3,6,United States Of America,CATERPILLAR
CCL INDUSTRIES,3,6,Canada,CCL INDUSTRIES
CDS JOHN BLUE,3,6,Brazil,CDS JOHN BLUE
CETTO,3,6,Germany,CETTO
CHAPIN MANUFACTURING,3,6,United States Of America,CHAPIN MANUFACTURING
CHARLES JONES INDUSTRIAL,3,7,Canada,CHARLES JONES INDUSTRIAL
CHARTER MANUFACTURING,3,8,United States Of America,CHARTER MANUFACTURING
CHEDDITE FRANCE,3,4,France,CHEDDITE FRANCE
CHINA AVIATION,3,4,China,CHINA AVIATION
CHIRON,3,7,Germany,CHIRON
CHRISTENSEN INC,3,6,United States Of America,CHRISTENSEN
CIMA,3,6,Italy,CIMA
CLAUDIO CALDANA,3,9,Italy,CLAUDIO CALDANA
CLEVELAND DIE AND MFG,3,6,United States Of America,CLEVELAND DIE AND MFG
CMF,3,13,Italy,CMF
CMG,3,7,Italy,CMG
CMT INDUSTRIAL SOLUTIONS,3,6,United States Of America,CMT INDUSTRIAL SOLUTIONS
CNC SPEEDWELL,3,6,United Kingdom,CNC SPEEDWELL
COMAR,3,11,Italy,COMAR
COMEC,3,11,Italy,COMEC
CONCOURS MOLD,3,6,United States Of America,CONCOURS MOLD
CONDUCTIX,3,6,Germany,CONDUCTIX
CONMA INDUSTRIES,3,3,Australia,CONMA INDUSTRIES
CONTINENTAL PARAFUSOS,3,5,Brazil,CONTINENTAL PARAFUSOS
COOK COMPRESSION,3,7,United States Of America,COOK COMPRESSION
COOK MEDICAL,3,6,United States Of America,COOK MEDICAL
COORSTEK,3,6,United States Of America,COORSTEK
CORE FAB PROJECTS ,3,5,India,CORE FAB PROJECTS
COX REELS,3,8,United States Of America,COX REELS
CQT KENNEDY MFG,3,4,United States Of America,CQT KENNEDY MFG
CRAIG WIRE PRODUCTS,3,9,United States Of America,CRAIG WIRE PRODUCTS
CREATIVE CHEMISTRY SOLUTIONS,3,6,Canada,CREATIVE CHEMISTRY SOLUTIONS
CROMWELL,3,6,Australia,CROMWELL
CROOM PRECISION,3,6,Ireland,CROOM PRECISION
CSS MANUFACTURING,3,4,United States Of America,CSS MANUFACTURING
CTC CHARLESTON,3,5,United States Of America,CTC CHARLESTON
CULLATI,3,5,Italy,CULLATI
Castrol,3,5,United States Of America,CASTROL
Conn Selmer Inc,3,6,United States Of America,CONN SELMER
Copeland Emerson,3,7,United States Of America,COPELAND EMERSON
DAIFUKU,3,3,Japan,DAIFUKU
DALFORSAN,3,7,Sweden,DALFORSAN
DANIELI,3,5,Italy,DANIELI
DAWN GORDON TRACTOR SERVICE,3,3,Canada,DAWN GORDON TRACTOR SERVICE
DELLNER HYDRATECH,3,7,Sweden,DELLNER HYDRATECH
DEMORE,3,7,Brazil,DEMORE
DEROME,3,6,Sweden,DEROME
DHL,3,5,Germany,DHL
DIAMONDBACK BARRELS,3,4,United States Of America,DIAMONDBACK BARRELS
DIBO,3,5,Italy,DIBO
DICASTAL,3,5,China,DICASTAL
DIDIMO ZANETTI GROUP,3,11,Italy,DIDIMO ZANETTI GROUP
DIE TECH INDUSTRIES,3,7,United States Of America,DIE TECH INDUSTRIES
DIETZMOTOREN,3,9,Germany,DIETZMOTOREN
DIFERRO,3,6,,DIFERRO
DPF ENGINEERING,3,8,Ireland,DPF ENGINEERING
DRESSER RAND,3,6,United States Of America,DRESSER RAND
DST CHEMICALS,3,5,Germany,DST CHEMICALS
DXP ENTERPRISES,3,6,United States Of America,DXP ENTERPRISES
DYSON CORPORATION,3,5,United States Of America,DYSON
Die Tech Tool and Die Inc,3,6,United States Of America,DIE TECH TOOL AND DIE
E P S,3,8,Italy,E P S
ECO ITALIA,3,5,,ECO ITALIA
EFFICIENT MACHINE PRODUCTS,3,4,United States Of America,EFFICIENT MACHINE PRODUCTS
EIKENHOUT,3,4,United States Of America,EIKENHOUT
EISENMANN,3,8,Germany,EISENMANN
ELECTRO STATIC CORP,3,5,United States Of America,ELECTRO STATIC
ELGAN,3,4,Germany,ELGAN
EMERSON,3,4,United States Of America,EMERSON
ENACERO,3,4,United States Of America,ENACERO
EPSILOG,3,3,France,EPSILOG
ESSEX Energy,3,4,Italy,ESSEX ENERGY
ESSEX INDUSTRIES,3,6,United States Of America,ESSEX INDUSTRIES
ESSILOR,3,4,France,ESSILOR
EURORICAMBI,3,5,Italy,EURORICAMBI
EVAPCO,3,5,United States Of America,EVAPCO
Ekets Group,3,3,Sweden,EKETS GROUP
F R ACCESSORIES,3,8,Italy,F R ACCESSORIES
FABRICATING EQUIPMENT COMPANY,3,4,United States Of America,FABRICATING EQUIPMENT
FABRYKA NARZEDZI FANAR,3,5,Poland,FABRYKA NARZEDZI FANAR
FCC,3,5,Japan,FCC
FELISAZ,3,3,France,FELISAZ
FERBE TOOLS,3,7,Sweden,FERBE TOOLS
FERG,3,3,Spain,FERG
FERGAS,3,7,Sweden,FERGAS
FESTO,3,5,Germany,FESTO
FINMEKANIK I SMÅLAND,3,7,Sweden,FINMEKANIK I SMALAND
FISCHER ENGINEERING COMPANY,3,6,United States Of America,FISCHER ENGINEERING
FLANCO ENGINEERING,3,6,Ireland,FLANCO ENGINEERING
FLASH INDUSTRIAL TECHNOLOGY,3,5,United States Of America,FLASH INDUSTRIAL TECHNOLOGY
FLEX MASTER,3,5,United States Of America,FLEX MASTER
FLLI,3,6,Italy,FLLI
FLUIDCARE,3,4,England,FLUIDCARE
FOC CISCATO,3,4,Italy,FOC CISCATO
FONDALPRESS,3,8,Italy,FONDALPRESS
FONDERIA SCARANELLO SRL,3,13,Italy,FONDERIA SCARANELLO
FORGES DE FRONCLES,3,6,France,FORGES DE FRONCLES
FORJA BAHIA,3,7,Brazil,FORJA BAHIA
FRAMING TECHNOLOGY,3,6,United States Of America,FRAMING TECHNOLOGY
FRISA,3,8,Mexico,FRISA
FUCINE ROSTAGNO,3,4,Italy,FUCINE ROSTAGNO
FUNDIMISA,3,8,Brazil,FUNDIMISA
FUNVISA,3,3,Spain,FUNVISA
FZT,3,4,Germany,FZT
GALION,3,4,United States Of America,GALION
GALVANOTECHNIK,3,10,Germany,GALVANOTECHNIK
GAUTHIER INDUSTRIES,3,4,United States Of America,GAUTHIER INDUSTRIES
GEAR COMPANY OF AMERICA INC,3,7,United States Of America,GEAR OF AMERICA
GEBRUDER KEMPER,3,6,Germany,GEBRUDER KEMPER
GEDORE,3,5,Germany,GEDORE
GEMELS SPA,3,7,Italy,GEMELS
GENTEC,3,6,United States Of America,GENTEC
GEWISS,3,9,Italy,GEWISS
GIRARD EQUIPMENT,3,7,United States Of America,GIRARD EQUIPMENT
GLEASONPFAUTER,3,4,United States Of America,GLEASONPFAUTER
GLENAIR,3,6,United States Of America,GLENAIR
GMP PLATING,3,6,United States Of America,GMP PLATING
GMS,3,5,United States Of America,GMS
GREER STOP NUT,3,3,United States Of America,GREER STOP NUT
GRUNDFOS HOLDING,3,5,Denmark,GRUNDFOS HOLDING
GUANGZHOU SHIBO,3,9,China,GUANGZHOU SHIBO
GUIZHOU HENGCHENGFENG,3,7,China,GUIZHOU HENGCHENGFENG
GULFEAGLE SUPPLY,3,5,United States Of America,GULFEAGLE SUPPLY
H T SOLUTIONS,3,10,India,H T SOLUTIONS
HAGEMEYER,3,6,United States Of America,HAGEMEYER
HANKSCRAFT,3,6,United States Of America,HANKSCRAFT
HARPER CORPORATION,3,5,United States Of America,HARPER
HAVIS,3,6,United States Of America,HAVIS
HBT GMBH,3,3,Germany,HBT
HEICO GROUP,3,4,United States Of America,HEICO GROUP
HEISMANN DREHTECHNIK,3,4,Germany,HEISMANN DREHTECHNIK
HEITKAMP AND THUMANN GROUP,3,9,Germany,HEITKAMP AND THUMANN GROUP
HI TECMETAL,3,7,United States Of America,HI TECMETAL
HINDALCO,3,8,India,HINDALCO
HL BLACHFORD,3,5,United States Of America,HL BLACHFORD
HLI SOLUTIONS,3,5,United States Of America,HLI SOLUTIONS
HOGANAS,3,9,Sweden,HOGANAS
HOPKINS TOOLING,3,6,United States Of America,HOPKINS TOOLING
HORSE,3,3,,HORSE
HUGHES PARKER INDUSTRIES,3,5,United States Of America,HUGHES PARKER INDUSTRIES
HUMPHREY PRODUCTS,3,6,United States Of America,HUMPHREY PRODUCTS
HUNAN JIAYUE GROUP,3,4,China,HUNAN JIAYUE GROUP
HUSSMANN CORPORATION,3,5,United States Of America,HUSSMANN
HYDRAULIK NORD,3,6,Germany,HYDRAULIK NORD
HYDROMAT,3,5,United States Of America,HYDROMAT
HYPERCUT MANUFACTURING LLC,3,5,,HYPERCUT MANUFACTURING
Heath Ceramics,3,3,United States Of America,HEATH CERAMICS
HÅKAN ANDERSSON MEKANISKA,3,8,Sweden,HAKAN ANDERSSON MEKANISKA
IBERDROLA,3,4,Spain,IBERDROLA
ICOMECCANICA,3,5,Italy,ICOMECCANICA
IDEAL INDUSTRIES,3,5,United States Of America,IDEAL INDUSTRIES
IDEPRO SKIVE,3,7,Denmark,IDEPRO SKIVE
IDEX,3,7,United States Of America,IDEX
IEM FREMONT,3,6,United States Of America,IEM FREMONT
ILARIO ORMEZZANOSAI,3,5,Italy,ILARIO ORMEZZANOSAI
ILLINOIS TOOL WORKS,3,6,United States Of America,ILLINOIS TOOL WORKS
IMESAZA,3,4,Spain,IMESAZA
IMPACT,3,8,Italy,IMPACT
IMT GROUP FORGE,3,4,Canada,IMT GROUP FORGE
INCON,3,5,Argentina,INCON
IND ESTAMPACION CORTE FINO,3,4,Spain,IND ESTAMPACION CORTE FINO
INDUSTRIHYDRAULIK,3,8,Spain,INDUSTRIHYDRAULIK
INDUSTRILAS,3,4,Sweden,INDUSTRILAS
INGETEAM POWER TECHNOLOGY,3,7,Spain,INGETEAM POWER TECHNOLOGY
INMERMEK,3,7,Spain,INMERMEK
INTEGRATED SOLUTIONS,3,5,United States Of America,INTEGRATED SOLUTIONS
INTERMACH,3,8,Brazil,INTERMACH
INTERNATIONAL PLATING,3,7,United States Of America,INTERNATIONAL PLATING
IONBOND,3,6,United States Of America,IONBOND
IQ FLUIDS,3,4,Germany,IQ FLUIDS
ISHIKAWA KOSAN,3,5,Japan,ISHIKAWA KOSAN
ITALFLANGE DI GOTTARDO,3,8,Italy,ITALFLANGE DI GOTTARDO
ITR INDUSTRIA TRAFILATI RETTIFICATI,3,9,Italy,ITR INDUSTRIA TRAFILATI RETTIFICATI
IVN,3,3,Netherlands,IVN
Imperial Die and Mfg Co,3,6,United States Of America,IMPERIAL DIE AND MFG
Industrial Tooling and Supply,3,5,United States Of America,INDUSTRIAL TOOLING AND SUPPLY
JAMES H CROSS,3,5,United States Of America,JAMES H CROSS
JAMES HARDIE,3,5,Ireland,JAMES HARDIE
JAY INDUSTRIAL,3,10,United States Of America,JAY INDUSTRIAL
JBT,3,3,United States Of America,JBT
JENNINGS MACHINE AND GEAR,3,4,United States Of America,JENNINGS MACHINE AND GEAR
JMS Southeast Inc,3,7,United States Of America,JMS SOUTHEAST
JOHNS MANVILLE,3,5,United States Of America,JOHNS MANVILLE
JOHNSON METALL,3,5,Germany,JOHNSON METALL
JOHNSON SUPPLY,3,7,United States Of America,JOHNSON SUPPLY
JP INDUSTRIE,3,6,France,JP INDUSTRIE
KABY ENGINEERS,3,5,India,KABY ENGINEERS
KARTESIS,3,3,France,KARTESIS
KAY MANUFACTURING COMPANY,3,8,United States Of America,KAY MANUFACTURING
KEN FORGING,3,5,United States Of America,KEN FORGING
KETTEN WULF,3,6,Germany,KETTEN WULF
KIC CORPORATION,3,6,Japan,KIC
KILIAN,3,6,Germany,KILIAN
KNAUF AQUAPANEL,3,6,Germany,KNAUF AQUAPANEL
KNORR BREMSE,3,8,Germany,KNORR BREMSE
KOELNER,3,5,Poland,KOELNER
KORADO,3,5,Czech Republic,KORADO
KOVACS,3,6,Hungary,KOVACS
KS OF WEST VIRGINIA,3,6,United States Of America,KS OF WEST VIRGINIA
KULTHORN KIRBY,3,5,Thailand,KULTHORN KIRBY
KVARNSTRANDS,3,4,Sweden,KVARNSTRANDS
KYOCERA,3,7,Japan,KYOCERA
Kale Group,3,6,Turkey,KALE GROUP
L M T,3,11,United States Of America,L M T
LAKE AIR PRODUCTS,3,5,United States Of America,LAKE AIR PRODUCTS
LARSEN AND TOUBRO,3,6,India,LARSEN AND TOUBRO
LARSENS MANUFACTURING,3,5,United States Of America,LARSENS MANUFACTURING
LASERFORM AND MACHINE,3,6,United States Of America,LASERFORM AND MACHINE
LEACHGARNER,3,9,United States Of America,LEACHGARNER
LEISTRITZ,3,4,Germany,LEISTRITZ
LIKOM DE MEXICO SA DE CV,3,5,Mexico,LIKOM DE MEXICO DE CV
LIMAORATE,3,4,Italy,LIMAORATE
LOGEMANN BROTHERS,3,5,United States Of America,LOGEMANN BROTHERS
LOKRING TECHNOLOGY,3,5,United States Of America,LOKRING TECHNOLOGY
LORD,3,5,United States Of America,LORD
LORENZ KUNSTSTOFFTECHNIK,3,4,Germany,LORENZ KUNSTSTOFFTECHNIK
LPM GROUP,3,8,Italy,LPM GROUP
LSI SUPPLY,3,6,Canada,LSI SUPPLY
LSM DISTRIBUTION,3,3,France,LSM DISTRIBUTION
LUOYANG TONGYE,3,12,China,LUOYANG TONGYE
LUVATA,3,5,United States Of America,LUVATA
Leading Edge Machining,3,6,United States Of America,LEADING EDGE MACHINING
Lippert,3,5,United States Of America,LIPPERT
MACLEAN POWER SYSTEMS,3,4,United States Of America,MACLEAN POWER SYSTEMS
MACRACK,3,3,Australia,MACRACK
MAICOPRESSE,3,5,Italy,MAICOPRESSE
MAIER,3,6,Germany,MAIER
MAINSTREAM ENGINEERING,3,6,United States Of America,MAINSTREAM ENGINEERING
MAMMOTH POWDER COATING,3,6,United States Of America,MAMMOTH POWDER COATING
MANROLAND WEB SYSTEMS,3,5,Germany,MANROLAND WEB SYSTEMS
MANZATO,3,7,Brazil,MANZATO
MARLIN TOOL,3,6,United States Of America,MARLIN TOOL
MARTIN METALLVERARBEITUNG,3,5,Germany,MARTIN METALLVERARBEITUNG
MAS MECCANICA,3,10,Italy,MAS MECCANICA
MATHEVON,3,5,France,MATHEVON
MAXITRATE,3,5,Brazil,MAXITRATE
MAYES COUNTY PETROLEUM,3,6,United States Of America,MAYES COUNTY PETROLEUM
MAYVILLE ENGINEERING,3,5,United States Of America,MAYVILLE ENGINEERING
MAZZUCCONI,3,7,Italy,MAZZUCCONI
