Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP
RAMSEY PRODUCTS CORPORATION,5,7,United States Of America,RAMSEY PRODUCTS
REMINGTON ARMS,5,8,United States Of America,REMINGTON ARMS
RENK,5,8,Germany,RENK
RETTIG,5,8,Finland,RETTIG
REX,5,10,Brazil,REX
RHENUS,5,7,Germany,RHENUS
SAW SYSTEMS,5,13,United States Of America,SAW SYSTEMS
SECO TOOLS,5,7,Sweden,SECO TOOLS
SHENZHEN XINRUNTONG,5,12,China,SHENZHEN XINRUNTONG
SIGNICAST,5,30,United States Of America,SIGNICAST
SINGLE SOURCE TECHNOLOGIES,5,8,United States Of America,SINGLE SOURCE TECHNOLOGIES
SOMECAB,5,5,France,SOMECAB
SORINEX EXERCISE EQUIPMENT,5,13,United States Of America,SORINEX EXERCISE EQUIPMENT
STILLWATER TECHNOLOGIES,5,8,United States Of America,STILLWATER TECHNOLOGIES
SUPFINA GRIESHABER,5,6,Germany,SUPFINA GRIESHABER
TECHNOVA SWEDEN AB,5,5,,TECHNOVA SWEDEN AB
TECUMSEH,5,5,Brazil,TECUMSEH
TRU TONE FINISHING,5,10,United States Of America,TRU TONE FINISHING
TTI,5,7,United States Of America,TTI
UNITED ALLOY,5,9,United States Of America,UNITED ALLOY
VALEO,5,5,France,VALEO
VALMONT,5,9,United States Of America,VALMONT
VIKING RANGE,5,9,United States Of America,VIKING RANGE
Veolia Water Technologies & Solutions,5,6,United States Of America,VEOLIA WATER TECHNOLOGIES SOLUTIONS
WEATHERFORD,5,10,United States Of America,WEATHERFORD
WESCO International,5,7,United States Of America,WESCO INTERNATIONAL
WIELAND GROUP,5,7,Germany,WIELAND GROUP
XIANLIDE,5,16,China,XIANLIDE
YOKOGAWA,5,9,Japan,YOKOGAWA
YOKOTA OIL,5,5,Japan,YOKOTA OIL
Yamamitsu Oil,5,11,Japan,YAMAMITSU OIL
ZWZ,5,12,China,ZWZ
A BRITE,4,7,United States Of America,A BRITE
AALBERTS INDUSTRIES,4,5,Netherlands,AALBERTS INDUSTRIES
ACCIONA,4,7,Spain,ACCIONA
ACUITY BRANDS,4,7,United States Of America,ACUITY BRANDS
ADIAMIX,4,6,France,ADIAMIX
AGE CUTTING TOOL LLC,4,7,United States Of America,AGE CUTTING TOOL
AI INDUSTRIES,4,7,United States Of America,AI INDUSTRIES
ALPARGATAS,4,7,Brazil,ALPARGATAS
ALTONA,4,6,Germany,ALTONA
AMF,4,6,United States Of America,AMF
AMSTED INDUSTRIES,4,6,United States Of America,AMSTED INDUSTRIES
ANA GLOBAL,4,7,United States Of America,ANA GLOBAL
ANNIBALE VITERIE GROUP,4,8,Italy,ANNIBALE VITERIE GROUP
ANOVA,4,12,United States Of America,ANOVA
APEL EXTRUSIONS,4,5,Canada,APEL EXTRUSIONS
APX,4,9,United States Of America,APX
ARTIFLEX MANUFACTURING,4,14,United States Of America,ARTIFLEX MANUFACTURING
Atelier Bourgea Usinage,4,5,Canada,ATELIER BOURGEA USINAGE
BANG AND OLUFSEN OPERATIONS,4,6,Denmark,BANG AND OLUFSEN OPERATIONS
BARRETO MANUFACTURING INC,4,9,United States Of America,BARRETO MANUFACTURING
BAYLOFF,4,8,United States Of America,BAYLOFF
BCI BURKE,4,6,United States Of America,BCI BURKE
BIFRANGI,4,5,Italy,BIFRANGI
BLACKHAWK,4,11,United States Of America,BLACKHAWK
BLACKHAWK INDUSTRIAL,4,5,United States Of America,BLACKHAWK INDUSTRIAL
BURGESS MANUFACTURING,4,8,United States Of America,BURGESS MANUFACTURING
BUTECH BLISS,4,4,United States Of America,BUTECH BLISS
BYD,4,4,China,BYD
CALDER INDUSTRIAL,4,8,England,CALDER INDUSTRIAL
CAPITOL INDUSTRIES,4,7,Canada,CAPITOL INDUSTRIES
CARLETON LIFE SUPPORT,4,7,United States Of America,CARLETON LIFE SUPPORT
CARLISLE,4,8,United States Of America,CARLISLE
CAULFIELD,4,8,Ireland,CAULFIELD
CELANESE,4,7,United States Of America,CELANESE
CFE,4,7,Mexico,CFE
CHANNELLOCK,4,6,United States Of America,CHANNELLOCK
CHEMICO GROUP,4,8,United States Of America,CHEMICO GROUP
CHRISTERS FINMEK,4,9,Sweden,CHRISTERS FINMEK
CHROME DEPOSIT,4,6,United States Of America,CHROME DEPOSIT
CIAL DE TRATAMIENT TERMICOS,4,5,Spain,CIAL DE TRATAMIENT TERMICOS
