Entity_1,Representative_1,Members_1,Countries_1,Ship_To_1,Entity_2,Representative_2,Members_2,Countries_2,Ship_To_2,Confidence,Combined_Name_Length,Ratio,Partial_Ratio,Token_Sort,Token_Set,Total_Ship_To
E007147,DEPATIE FLUID POWER,DEPATIE FLUID POWER CO,United States Of America,1,E008406,FLUID POWER,FLUID POWER,United States Of America,1,Medium,30,73.3,100.0,73.3,100.0,2
E008406,FLUID POWER,FLUID POWER,United States Of America,1,E009000,GRANITE FLUID POWER,GRANITE FLUID POWER,United States Of America,1,Medium,30,73.3,100.0,73.3,100.0,2
E008908,GLOBAL PCCI,GLOBAL PCCI,United States Of America,1,E008909,GLOBAL PCCI DBA GPC,GLOBAL PCCI DBA GPC,United States Of America,1,Medium,30,73.3,100.0,73.3,100.0,2
E012248,METALURGICA SCHWARZ,METALURGICA SCHWARZ,Brazil,1,E004370,METALURGICA,AG METALURGICA,Spain,1,Medium,30,73.3,100.0,73.3,100.0,2
E013468,P AND G FLUID POWER,P AND G FLUID POWER,United States Of America,1,E008406,FLUID POWER,FLUID POWER,United States Of America,1,Medium,30,73.3,100.0,73.3,100.0,2
E009827,HAMILTON CASTER,Hamilton Caster,United States Of America,1,E009828,HAMILTON CASTER SOUTH DOCK,Hamilton Caster South Dock,United States Of America,1,Medium,41,73.2,100.0,73.2,100.0,2
E004368,AFTON CHEMICAL,AFTON CHEMICAL,United States Of America,1,E006897,CHEMICAL,Chemical Corporation,Wales,1,Medium,22,72.7,100.0,72.7,100.0,2
E005028,ATELIERS,ATELIERS,France,1,E005029,ATELIERS ROCHE,ATELIERS ROCHE,France,1,Medium,22,72.7,100.0,72.7,100.0,2
E006109,CASTINGS,CASTINGS,United Kingdom,1,E010839,KEECH CASTINGS,KEECH CASTINGS,Australia,1,Medium,22,72.7,100.0,72.7,100.0,2
E006134,CB IDEAL TAPWARE EDWARDSTOWN,CB IDEAL TAPWARE EDWARDSTOWN,,1,E006135,CB IDEAL TAPWARE,CB IDEAL TAPWARE PTY LTD,Australia,1,Medium,44,72.7,100.0,72.7,100.0,2
E008914,GLOBAL SCUBA MANUFACTURING OF TEXAS,GLOBAL SCUBA MANUFACTURING OF TEXAS,United States Of America,1,E008903,GLOBAL MANUFACTURING,GLOBAL MANUFACTURING,Australia,1,Medium,55,72.7,80.0,72.7,100.0,2
E012567,MOTOR CASTINGS,MOTOR CASTINGS,United States Of America,1,E006109,CASTINGS,CASTINGS,United Kingdom,1,Medium,22,72.7,100.0,72.7,100.0,2
E012716,MICHAELS TOOL SERVICE,Michaels Tool Service Inc,United States Of America,1,E016718,TOOL SERVICE,TOOL SERVICE,United States Of America,1,Medium,33,72.7,100.0,72.7,100.0,2
E012727,MIYAZAKI,Miyazaki,Japan,1,E012728,MIYAZAKI PAINT,Miyazaki Paint,,1,Medium,22,72.7,100.0,72.7,100.0,2
E013391,OSAKA CHEMICAL,OSAKA CHEMICAL,Japan,1,E006897,CHEMICAL,Chemical Corporation,Wales,1,Medium,22,72.7,100.0,72.7,100.0,2
E014633,REPUBLIC,REPUBLIC INCORPORATED,United States Of America,1,E014962,REPUBLIC STEEL,Republic Steel,United States Of America,1,Medium,22,72.7,100.0,72.7,100.0,2
E017055,TRISTATE PUMP SYSTEMS,TriState Pump Systems,United States Of America,1,E014242,PUMP SYSTEMS,PUMP SYSTEMS,United States Of America,1,Medium,33,72.7,100.0,72.7,100.0,2
E017329,VANGUARD STEEL,VANGUARD STEEL,Canada,1,E017514,VANGUARD,Vanguard,United States Of America,1,Medium,22,72.7,100.0,72.7,100.0,2
E005038,ATI MATERIALS,ATI Materials,United States Of America,1,E005039,ATI SPECIALTY MATERIALS,ATI SPECIALTY MATERIALS,United States Of America,1,Medium,36,72.2,88.0,72.2,100.0,2
E005365,BEACON GASKET,BEACON GASKET,United States Of America,1,E005850,BEACON GASKET AND SEALS,Beacon Gasket and Seals,United States Of America,1,Medium,36,72.2,100.0,72.2,100.0,2
E005881,BRYAN DIE CAST PRODUCTS,Bryan Die-Cast Products Inc.,,1,E006103,CAST PRODUCTS,CAST PRODUCTS,United States Of America,1,Medium,36,72.2,100.0,72.2,100.0,2
